Date,Pair,Action,Details,Realized_PnL,Portfolio_Equity
2023-01-17,COFORGE.NS/TCS.NS,LONG,Lots: 450/175 (Cost: 882),-882.18,1499117.82
2023-01-23,COFORGE.NS/TCS.NS,EXIT,Target Hit. PnL: 31287,31286.65,1531286.65
2023-02-13,COFORGE.NS/TCS.NS,LONG,Lots: 450/175 (Cost: 910),-910.29,1499089.71
2023-02-21,COFORGE.NS/TCS.NS,EXIT,Target Hit. PnL: 30817,30816.64,1530816.64
2023-02-28,COFORGE.NS/TCS.NS,SHORT,Lots: 450/175 (Cost: 906),-906.11,1499093.89
2023-03-27,COFORGE.NS/TCS.NS,EXIT,Target Hit. PnL: 26025,26025.45,1526025.45
2023-01-16,COFORGE.NS/INFY.NS,LONG,Lots: 450/400 (Cost: 896),-896.4,1584533.75
2023-01-23,COFORGE.NS/INFY.NS,EXIT,Target Hit. PnL: 30573,30573.13,1616003.28
2023-02-13,COFORGE.NS/INFY.NS,LONG,Lots: 450/400 (Cost: 925),-924.85,1584505.31
2023-02-22,COFORGE.NS/INFY.NS,EXIT,Target Hit. PnL: 28044,28043.56,1613473.71
2023-02-28,COFORGE.NS/INFY.NS,SHORT,Lots: 450/400 (Cost: 919),-918.65,1584511.5
2023-03-27,COFORGE.NS/INFY.NS,EXIT,Target Hit. PnL: 20514,20514.49,1605944.64
2023-04-12,HDFCBANK.NS/UNIONBANK.NS,SHORT,Lots: 1100/5000 (Cost: 1200),-1199.92,1660621.51
2023-04-18,HDFCBANK.NS/UNIONBANK.NS,EXIT,Target Hit. PnL: 39071,39070.65,1700892.08
2023-05-05,HDFCBANK.NS/UNIONBANK.NS,LONG,Lots: 1100/5000 (Cost: 1209),-1208.68,1660612.76
2023-05-10,HDFCBANK.NS/UNIONBANK.NS,EXIT,Target Hit. PnL: 40153,40153.18,1701974.61
2023-06-15,HDFCBANK.NS/UNIONBANK.NS,LONG,Lots: 1100/5000 (Cost: 1167),-1167.17,1660654.27
2023-06-21,HDFCBANK.NS/UNIONBANK.NS,EXIT,Target Hit. PnL: 24735,24734.77,1686556.2
2023-07-03,CANBK.NS/PNB.NS,SHORT,Lots: 10800/8000 (Cost: 1060),-1060.4,1761143.86
2023-08-17,CANBK.NS/PNB.NS,EXIT,Target Hit. PnL: 48031,48030.58,1810234.84
2023-09-25,CANBK.NS/PNB.NS,LONG,Lots: 8100/8000 (Cost: 1187),-1187.33,1761016.93
2023-10-03,CANBK.NS/UNIONBANK.NS,LONG,Lots: 8100/5000 (Cost: 1114),-1113.56,1806873.55
2023-10-27,CANBK.NS/UNIONBANK.NS,EXIT,Target Hit. PnL: 50874,50873.85,1858860.96
2023-12-05,CANBK.NS/UNIONBANK.NS,SHORT,Lots: 8100/5000 (Cost: 1202),-1201.62,1806785.48
2023-10-06,AXISBANK.NS/BANKBARODA.NS,LONG,Lots: 625/2925 (Cost: 1217),-1216.82,1855328.95
2023-11-07,AXISBANK.NS/BANKBARODA.NS,EXIT,Target Hit. PnL: 77441,77441.33,1933987.1
2023-12-01,AXISBANK.NS/BANKBARODA.NS,SHORT,Lots: 625/2925 (Cost: 1245),-1244.53,1855301.24
2023-12-27,AXISBANK.NS/BANKBARODA.NS,EXIT,Target Hit. PnL: 80546,80546.31,1937092.08
2024-01-08,BANKBARODA.NS/INDUSINDBK.NS,LONG,Lots: 2925/500 (Cost: 1419),-1419.28,2010652.8
2024-02-01,BANKBARODA.NS/INDUSINDBK.NS,EXIT,Target Hit. PnL: 130437,130436.81,2142508.88
2024-04-03,COFORGE.NS/INFY.NS,SHORT,Lots: 450/400 (Cost: 1056),-1056.48,2140033.12
2024-05-03,COFORGE.NS/INFY.NS,EXIT,Target Hit. PnL: 78801,78800.59,2219890.19
2024-05-07,COFORGE.NS/INFY.NS,LONG,Lots: 450/400 (Cost: 932),-931.98,2140157.62
2024-05-24,COFORGE.NS/INFY.NS,EXIT,Target Hit. PnL: 52247,52247.37,2193336.97
